Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,1.465640,1.427952,1.440515,0.640490,65671
1962-01-03,0.000000,1.444702,1.427952,1.436327,0.638628,77611
1962-01-04,0.000000,1.438421,1.411202,1.423765,0.633043,59701
1962-01-05,0.000000,1.432140,1.394452,1.415390,0.629319,107462
1962-01-08,0.000000,1.432140,1.390264,1.390264,0.618147,89551
1962-01-09,0.000000,1.402827,1.356764,1.356764,0.603252,83581
1962-01-10,0.000000,1.386077,1.373514,1.386077,0.616285,29850
1962-01-11,0.000000,1.386077,1.373514,1.377702,0.612562,47761
1962-01-12,0.000000,1.407015,1.377702,1.407015,0.625596,89551
1962-01-15,0.000000,1.461453,1.407015,1.461453,0.649799,179103
1962-01-16,0.000000,1.457265,1.448890,1.457265,0.647938,95521
1962-01-17,0.000000,1.453078,1.402827,1.411202,0.627457,149252
1962-01-18,0.000000,1.415390,1.390264,1.415390,0.629319,47761
1962-01-19,0.000000,1.419577,1.394452,1.398639,0.621871,35821
1962-01-22,0.000000,1.427952,1.394452,1.419577,0.631181,137312
1962-01-23,0.000000,1.419577,1.394452,1.398639,0.621871,53731
1962-01-24,0.000000,1.402827,1.373514,1.402827,0.623733,125372
1962-01-25,0.000000,1.402827,1.365139,1.365139,0.606976,107462
1962-01-26,0.000000,1.369327,1.352577,1.352577,0.601390,107462
1962-01-29,0.000000,1.356764,1.323264,1.323264,0.588357,35821
1962-01-30,0.000000,1.329545,1.316982,1.323264,0.588357,59701
1962-01-31,0.000000,1.340014,1.329545,1.331639,0.592081,71641
1962-02-01,0.000000,1.335826,1.335826,1.335826,0.593942,17910
1962-02-02,0.000000,1.348389,1.340014,1.348389,0.599528,17910
1962-02-05,0.000000,1.407015,1.344201,1.407015,0.625596,101491
1962-02-06,0.000000,1.407015,1.407015,1.407015,0.625596,41791
1962-02-07,0.000000,1.407015,1.402827,1.402827,0.623733,17910
1962-02-08,0.000000,1.402827,1.402827,1.402827,0.623733,23880
1962-02-09,0.000000,1.394452,1.348389,1.365139,0.606976,65671
1962-02-12,0.000000,1.365139,1.352577,1.365139,0.606976,17910
1962-02-13,0.000000,1.373514,1.365139,1.365139,0.606976,83581
1962-02-14,0.000000,1.394452,1.386077,1.394452,0.620009,59701
1962-02-15,0.000000,1.415390,1.394452,1.415390,0.629319,29850
1962-02-16,0.000000,1.440515,1.423765,1.434234,0.637697,155222
1962-02-19,0.000000,1.444702,1.432140,1.436327,0.638628,41791
1962-02-20,0.000000,1.440515,1.398639,1.398639,0.621871,41791
1962-02-21,0.000000,1.423765,1.411202,1.415390,0.629319,41791
1962-02-23,0.000000,1.394452,1.375608,1.375608,0.611630,53731
